has_variant,product_url,name,sku,mpn,availability,price,description,image_array,brand,image,barcode,barcode_type,color,size,isPriceExcVAT,available_option
False,https://www.fatbraintoys.com/toy_companies/lego_systems_inc/lego_city_exploration_jungle_explorer_atv_red_panda_mission.cfm?ah=LS2527-1,LEGO City Exploration - Jungle Explorer ATV Red Panda Mission,LS2527-1,60424,True,10.99,Build an ATV and race into the wilderness to find the elusive red panda!,"['https://www.fatbraintoys.com/images/products/large/ls2527.jpg', 'https://www.fatbraintoys.com/images/products/detail/ls2527/ls2527_0.jpg', 'https://www.fatbraintoys.com/images/products/detail/ls2527/ls2527_1.jpg']","LEGO® Systems, Inc.",https://www.fatbraintoys.com/images/products/large/ls2527.jpg,673419390002,UPC,,,False,LEGO City Exploration - Jungle Explorer ATV Red Panda Mission
False,https://www.fatbraintoys.com/toy_companies/lego_systems_inc/lego_technic_kawasaki_ninja_h2r_motorcycle_v39.cfm?ah=LS2508-1,LEGO Technic - Kawasaki Ninja H2R Motorcycle V39,LS2508-1,42170,True,84.95,Build the world's most powerful supercharged hypersport closed-course motorcycle!,"['https://www.fatbraintoys.com/images/products/large/ls2508.jpg', 'https://www.fatbraintoys.com/images/products/detail/ls2508/ls2508_0.jpg', 'https://www.fatbraintoys.com/images/products/detail/ls2508/ls2508_1.jpg']","LEGO® Systems, Inc.",https://www.fatbraintoys.com/images/products/large/ls2508.jpg,673419388733,UPC,,,False,LEGO Technic - Kawasaki Ninja H2R Motorcycle V39
False,https://www.fatbraintoys.com/toy_companies/kikkerland_design/huckleberry_kaleidoscope.cfm?ah=KD074-1,Huckleberry Kaleidoscope,KD074-1,HB15,True,8.0,This isn't your ordinary kaleidoscope. Add flower petals and other small nature finds into the top compartment to create stunning mosaics and unique patterns! Great for fostering creativity and love for outdoors.,"['https://www.fatbraintoys.com/images/products/large/kd074.jpg', 'https://www.fatbraintoys.com/images/products/detail/kd074/kd074_0.jpg', 'https://www.fatbraintoys.com/images/products/detail/kd074/kd074_1.jpg', 'https://www.fatbraintoys.com/images/products/detail/kd074/kd074_2.jpg']",Kikkerland Design,https://www.fatbraintoys.com/images/products/large/kd074.jpg,612615101203,UPC,,,False,Huckleberry Kaleidoscope
False,https://www.fatbraintoys.com/toy_companies/fat_brain_toys/lets_plant_5_pc_gardening_set.cfm?ah=FB509-1,Let's Plant 5 pc. Gardening Set,FB509-1,79500,True,24.95,A real-life gardening set for kids!,"['https://www.fatbraintoys.com/images/products/large/fb509.jpg', 'https://www.fatbraintoys.com/images/products/detail/fb509/fb509_0.jpg', 'https://www.fatbraintoys.com/images/products/detail/fb509/fb509_1.jpg', 'https://www.fatbraintoys.com/images/products/detail/fb509/fb509_2.jpg']",Fat Brain Toys,https://www.fatbraintoys.com/images/products/large/fb509.jpg,810074270540,UPC,,,False,Let's Plant 5 pc. Gardening Set
False,https://www.fatbraintoys.com/toy_companies/kikkerland_design/huckleberry_cast_a_track.cfm?ah=KD073-1,Huckleberry Cast-A-Track,KD073-1,HB31,True,10.95,Find and preserve your favorite animal tracks!,['https://www.fatbraintoys.com/images/products/large/kd073.jpg'],Kikkerland Design,https://www.fatbraintoys.com/images/products/large/kd073.jpg,612615116528,UPC,,,False,Huckleberry Cast-A-Track
False,https://www.fatbraintoys.com/toy_companies/green_toys/green_toys_sea_life_set.cfm?ah=GRN077-1,Green Toys Sea Life Set,GRN077-1,SLS1-1584,True,19.95,"Scoop, pour, discover, and play with these fun and friendly sea creatures!",['https://www.fatbraintoys.com/images/products/large/grn077.jpg'],Green Toys,https://www.fatbraintoys.com/images/products/large/grn077.jpg,816409015848,UPC,,,False,Green Toys Sea Life Set
True,https://www.fatbraintoys.com/toy_companies/fat_brain_toys/fat_brain_toys_gift_card.cfm?ah=FB066-5,Fat Brain Toys Gift Card,FB066-5,FB066-5,True,5.0,"""You have so many choices, but what do I choose?"" Let the recipient choose what they want with a Fat Brain Toys gift card! A gift card is the perfect gift for all occasions. Choose from denominations of $10 to $100.",['https://www.fatbraintoys.com/images/products/large/fb066.jpg'],Fat Brain Toys,https://www.fatbraintoys.com/images/products/large/fb066.jpg,182129001264,UPC,,,False, $5
True,https://www.fatbraintoys.com/toy_companies/fat_brain_toys/fat_brain_toys_gift_card.cfm?ah=FB066-10,Fat Brain Toys Gift Card,FB066-10,FB066-10,True,10.0,"""You have so many choices, but what do I choose?"" Let the recipient choose what they want with a Fat Brain Toys gift card! A gift card is the perfect gift for all occasions. Choose from denominations of $10 to $100.",['https://www.fatbraintoys.com/images/products/large/fb066.jpg'],Fat Brain Toys,https://www.fatbraintoys.com/images/products/large/fb066.jpg,182129001264,UPC,,,False, $10
True,https://www.fatbraintoys.com/toy_companies/fat_brain_toys/fat_brain_toys_gift_card.cfm?ah=FB066-15,Fat Brain Toys Gift Card,FB066-15,FB066-15,True,15.0,"""You have so many choices, but what do I choose?"" Let the recipient choose what they want with a Fat Brain Toys gift card! A gift card is the perfect gift for all occasions. Choose from denominations of $10 to $100.",['https://www.fatbraintoys.com/images/products/large/fb066.jpg'],Fat Brain Toys,https://www.fatbraintoys.com/images/products/large/fb066.jpg,182129001264,UPC,,,False, $15
True,https://www.fatbraintoys.com/toy_companies/fat_brain_toys/fat_brain_toys_gift_card.cfm?ah=FB066-20,Fat Brain Toys Gift Card,FB066-20,FB066-20,True,20.0,"""You have so many choices, but what do I choose?"" Let the recipient choose what they want with a Fat Brain Toys gift card! A gift card is the perfect gift for all occasions. Choose from denominations of $10 to $100.",['https://www.fatbraintoys.com/images/products/large/fb066.jpg'],Fat Brain Toys,https://www.fatbraintoys.com/images/products/large/fb066.jpg,182129001264,UPC,,,False, $20
